iter	Passed	Remaining
206	317	1215
207	318	1211
208	319	1207
209	320	1204
210	321	1201
211	322	1199
212	324	1197
213	325	1194
214	326	1191
215	327	1188
216	328	1184
217	329	1180
218	330	1178
219	331	1174
220	332	1171
221	333	1167
222	334	1164
223	335	1160
224	335	1156
225	336	1153
226	337	1149
227	338	1146
228	339	1142
229	340	1138
230	340	1135
231	341	1131
232	342	1128
233	343	1124
234	344	1121
235	345	1117
236	346	1114
237	346	1110
238	347	1106
239	348	1103
240	349	1099
241	349	1096
242	350	1092
243	351	1089
244	352	1085
245	353	1082
246	353	1078
247	354	1075
248	355	1071
249	356	1068
250	357	1065
251	357	1062
252	358	1059
253	359	1056
254	360	1052
255	361	1050
256	362	1046
257	362	1043
258	363	1040
259	364	1037
260	365	1034
261	365	1030
262	366	1027
263	367	1024
264	368	1021
265	369	1018
266	369	1015
267	370	1012
268	371	1009
269	372	1006
270	373	1003
271	373	1000
272	374	997
273	375	994
274	376	991
275	377	989
276	377	986
277	378	983
278	379	980
279	380	977
280	380	974
281	381	972
282	382	969
283	383	966
284	384	963
285	384	960
286	385	958
287	386	955
288	387	952
289	387	949
290	388	946
291	389	944
292	390	941
293	391	939
294	391	936
295	392	933
296	393	931
297	394	928
298	394	925
299	395	923
300	396	920
301	397	917
302	397	915
303	398	913
304	399	910
305	400	908
306	401	906
307	402	903
308	402	901
309	403	898
310	404	896
311	405	894
312	406	891
313	407	889
314	407	887
315	408	884
316	409	882
317	410	880
318	411	877
319	411	875
320	412	873
321	413	871
322	414	868
323	415	866
324	416	864
325	416	861
326	417	859
327	418	857
328	419	854
329	419	852
330	420	850
331	421	848
332	422	845
333	423	843
334	423	841
335	424	839
336	425	836
337	426	835
338	427	832
339	427	830
340	428	828
341	429	826
342	430	824
343	431	822
344	431	819
345	432	817
346	433	815
347	434	813
348	434	811
349	435	809
350	436	807
351	437	804
352	438	802
353	438	800
354	439	798
355	440	796
356	441	794
357	442	792
358	442	790
359	443	788
360	444	786
361	445	784
362	445	782
363	446	780
364	447	778
365	448	776
366	449	774
367	449	772
368	450	770
369	451	768
370	452	766
371	452	764
372	453	762
373	454	760
374	455	758
375	456	757
376	457	755
377	457	753
378	458	751
379	459	749
380	460	747
381	461	745
382	461	743
383	462	742
384	463	740
385	464	738
386	464	736
387	465	734
388	466	732
389	467	731
390	468	729
391	469	727
392	469	725
393	471	725
394	472	723
395	473	722
396	474	720
397	475	718
398	475	716
399	477	715
400	477	713
401	478	712
402	479	710
403	480	708
404	481	706
405	481	705
406	482	703
407	483	701
408	484	700
409	485	698
410	486	696
411	486	694
412	487	693
413	488	691
414	489	689
415	490	687
416	490	686
417	491	684
418	492	682
419	493	681
420	494	679
421	495	678
422	495	676
423	496	674
424	497	673
425	498	671
426	499	669
427	500	668
428	500	666
429	501	664
430	502	663
431	503	661
432	503	659
433	504	658
434	505	656
435	506	654
436	506	653
437	507	651
438	508	649
439	509	648
440	510	646
441	510	645
442	511	643
443	512	641
444	513	640
445	514	639
446	515	637
447	516	636
448	517	634
449	518	633
450	518	631
451	519	630
452	520	629
453	521	627
454	522	626
455	523	624
456	524	623
457	525	621
458	526	620
459	527	618
460	527	617
461	528	615
462	529	614
463	530	612
464	530	610
465	531	609
466	532	607
467	533	606
468	534	604
469	534	603
470	535	601
471	536	599
472	537	598
473	537	596
474	538	595
475	539	593
476	540	592
477	541	590
478	541	589
479	542	587
480	543	586
481	544	584
482	544	583
483	545	581
484	546	580
485	547	578
486	548	577
487	548	575
488	549	574
489	550	572
490	551	571
491	552	570
492	553	568
493	553	567
494	554	565
495	555	564
496	556	562
497	556	561
498	557	559
499	558	558
500	559	557
501	560	555
502	560	554
503	561	552
504	562	551
505	563	549
506	563	548
507	564	546
508	565	545
509	566	543
510	566	542
511	567	541
512	568	539
513	569	538
514	570	536
515	570	535
516	571	533
517	572	532
518	573	531
519	573	529
520	574	528
521	575	527
522	576	525
523	577	524
524	577	522
525	578	521
526	579	520
527	580	518
528	581	517
529	582	516
530	583	514
531	583	513
532	584	512
533	585	510
534	586	509
535	587	508
536	587	506
537	588	505
538	589	504
539	590	502
540	591	501
541	591	500
542	592	498
543	593	497
544	594	496
545	595	494
546	595	493
547	596	492
548	597	490
549	598	489
550	599	488
551	599	486
552	600	485
553	601	484
554	602	482
555	602	481
556	603	480
557	604	478
558	605	477
559	606	476
560	606	474
561	607	473
562	608	472
563	609	471
564	610	469
565	610	468
566	611	467
567	612	465
568	613	464
569	614	463
570	615	462
571	616	461
572	616	459
573	617	458
574	618	457
575	619	455
576	620	454
577	621	453
578	622	452
579	623	451
580	624	450
581	624	448
582	625	447
583	626	446
584	627	445
585	628	443
586	628	442
587	629	441
588	630	440
589	631	438
590	632	437
591	633	436
592	634	435
593	634	433
594	635	432
595	636	431
596	637	430
597	637	428
598	638	427
599	639	426
600	640	425
601	641	423
602	641	422
603	642	421
604	643	420
605	644	418
606	645	417
607	645	416
608	646	415
609	647	413
610	648	412
611	648	411
612	649	410
613	650	408
614	651	407
615	651	406
616	652	405
617	653	403
618	654	402
619	654	401
620	655	400
621	656	399
622	657	398
623	658	396
624	659	395
625	660	394
626	661	393
627	662	392
628	663	391
629	664	390
630	665	389
631	666	387
632	667	386
633	667	385
634	668	384
635	669	383
636	670	381
637	671	380
638	672	379
639	673	378
640	673	377
641	674	376
642	675	374
643	676	373
644	676	372
645	677	371
646	678	370
647	679	368
648	679	367
649	680	366
650	681	365
651	682	364
652	683	362
653	683	361
654	684	360
655	685	359
656	686	358
657	687	357
658	687	355
659	688	354
660	689	353
661	690	352
662	691	351
663	692	350
664	693	349
665	693	347
666	694	346
667	695	345
668	696	344
669	697	343
670	697	342
671	698	341
672	699	339
673	700	338
674	701	337
675	702	336
676	702	335
677	703	334
678	704	333
679	705	331
680	705	330
681	706	329
682	707	328
683	708	327
684	708	326
685	709	324
686	710	323
687	711	322
688	712	321
689	713	320
690	713	319
691	714	318
692	715	317
693	716	315
694	717	314
695	718	313
696	718	312
697	719	311
698	720	310
699	721	309
700	722	307
701	722	306
702	723	305
703	724	304
704	725	303
705	726	302
706	727	301
707	727	300
708	728	299
709	729	298
710	730	296
711	731	295
712	731	294
713	732	293
714	733	292
715	734	291
716	735	290
717	735	289
718	736	287
719	737	286
720	738	285
721	738	284
722	739	283
723	740	282
724	741	281
725	742	280
726	743	279
727	743	277
728	744	276
729	745	275
730	746	274
731	747	273
732	747	272
733	748	271
734	749	270
735	750	269
736	751	267
737	751	266
738	752	265
739	753	264
740	754	263
741	755	262
742	755	261
743	756	260
744	757	259
745	758	258
746	759	257
747	760	256
748	760	254
749	761	253
750	762	252
751	763	251
752	764	250
753	765	249
754	766	248
755	766	247
756	767	246
757	768	245
758	769	244
759	770	243
760	771	242
761	772	241
762	772	240
763	773	239
764	774	238
765	775	236
766	776	235
767	777	234
768	778	233
769	779	232
770	780	231
771	781	230
772	781	229
773	782	228
774	783	227
775	784	226
776	785	225
777	786	224
778	786	223
779	787	222
780	788	221
781	789	220
782	790	219
783	791	218
784	792	216
785	793	215
786	793	214
787	794	213
788	795	212
789	796	211
790	797	210
791	798	209
792	799	208
793	799	207
794	800	206
795	801	205
796	802	204
797	803	203
798	804	202
799	805	201
800	805	200
801	806	199
802	807	198
803	808	197
804	809	196
805	811	195
806	812	194
807	812	193
808	813	192
809	814	191
810	815	189
811	816	188
812	816	187
813	817	186
814	818	185
815	819	184
816	820	183
817	820	182
818	821	181
819	822	180
820	823	179
821	823	178
822	824	177
823	825	176
824	826	175
825	827	174
826	827	173
827	828	172
828	829	171
829	830	170
830	831	169
831	832	168
832	833	167
833	833	165
834	834	164
835	835	163
836	836	162
837	837	161
838	838	160
839	839	159
840	840	158
841	840	157
842	841	156
843	842	155
844	843	154
845	844	153
846	845	152
847	846	151
848	846	150
849	847	149
850	848	148
851	849	147
852	850	146
853	851	145
854	851	144
855	852	143
856	853	142
857	854	141
858	854	140
859	855	139
860	856	138
861	857	137
862	857	136
863	858	135
864	859	134
865	860	133
866	861	132
867	861	131
868	862	130
869	863	129
870	864	128
871	865	127
872	865	125
873	866	124
874	867	123
875	868	122
876	869	121
877	869	120
878	870	119
879	871	118
880	872	117
881	872	116
882	873	115
883	874	114
884	875	113
885	876	112
886	876	111
887	877	110
888	878	109
889	879	108
890	880	107
891	881	106
892	881	105
893	882	104
894	883	103
895	884	102
896	884	101
897	885	100
898	886	99
899	887	98
900	888	97
901	888	96
902	889	95
903	890	94
904	891	93
905	892	92
906	892	91
907	893	90
908	894	89
909	895	88
910	896	87
911	897	86
912	898	85
913	899	84
914	900	83
915	900	82
916	901	81
917	902	80
918	903	79
919	903	78
920	904	77
921	905	76
922	906	75
923	907	74
924	908	73
925	909	72
926	909	71
927	910	70
928	911	69
929	912	68
930	912	67
931	913	66
932	914	65
933	915	64
934	916	63
935	916	62
936	917	61
937	918	60
938	919	59
939	919	58
940	920	57
941	921	56
942	922	55
943	923	54
944	923	53
945	924	52
946	925	51
947	926	50
948	927	49
949	927	48
950	928	47
951	929	46
952	930	45
953	930	44
954	931	43
955	932	42
956	933	41
957	934	40
958	934	39
959	935	38
960	936	38
961	937	37
962	937	36
963	938	35
964	939	34
965	940	33
966	941	32
967	941	31
968	942	30
969	943	29
970	944	28
971	944	27
972	945	26
973	946	25
974	947	24
975	948	23
976	948	22
977	949	21
978	950	20
979	951	19
980	952	18
981	953	17
982	954	16
983	954	15
984	955	14
985	956	13
986	957	12
987	958	11
988	958	10
989	959	9
990	960	8
991	961	7
992	961	6
993	962	5
994	963	4
995	964	3
996	964	2
997	965	1
998	965	0
999	966	0
